Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Keywords
41,Portugal,79,1,Basic,Statistics,Statistics,Stem and Leaf diagram Relative frequency Sample Frequency
41,Portugal,79,1,Basic,Statistics,Statistics,Stem and Leaf diagram Relative frequency Sample Frequency
57,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram Relative frequency Sample Frequency
57,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram Relative frequency Sample Frequency
181,Italy,83,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics",Domain Image of a function
181,Italy,83,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics",Domain Image of a function
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,Indeterminate forms Limits
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,Indeterminate forms Limits
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Square linear system Solution of linear system Undetermined solution of linear system Consistent system
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,Inconsistent system Square linear system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Square linear system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,Inconsistent system Square linear system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,Square linear system Inconsistent system Solution of linear system Undetermined solution of linear system Consistent system
